Sede	Código.	Descripción de Materia	Modalidad	Periodo	Grupo	Profesor	HORARIO
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CE1101	Introducción a la programación	SEMESTRE	2	1	SCHMIDT PERALTA JEFF	MAR[07:30-09:20] JUE[07:30-09:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CE1101	Introducción a la programación	SEMESTRE	2	2	SCHMIDT PERALTA JEFF	MAR[09:30-11:20] JUE[09:30-11:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CE1103	Algoritmos y estructuras de datos I	SEMESTRE	2	1	RAMIREZ TREJOS ELLIOTH	MIE[17:00-18:50] VIE[17:00-18:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CE1103	Algoritmos y estructuras de datos I	SEMESTRE	2	2	GAMBOA RAMIREZ SANTIAGO	MAR[15:00-16:50] JUE[15:00-16:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CE1103	Algoritmos y estructuras de datos I	SEMESTRE	2	3	BARBOZA ARTAVIA LUIS	MAR[09:30-11:20] JUE[09:30-11:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CE1104	Fundamentos de sistemas computacionales	SEMESTRE	2	1	VILLEGAS LEMUS MILTON	MAR[07:30-09:20] JUE[07:30-09:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CE1105	Principios de modelado en Ingeniería	SEMESTRE	2	1	MORA ROJAS DIEGO	MAR[17:00-18:50] JUE[17:00-18:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CE1105	Principios de modelado en Ingeniería	SEMESTRE	2	2	RIVERA MENESES MARCO	MIE[17:00-18:50] VIE[17:00-18:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CE1105	Principios de modelado en Ingeniería	SEMESTRE	2	3	HERNANDEZ VASQUEZ MARCO	MAR[19:00-20:50] JUE[19:00-20:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CE1106	Paradigmas de programación	SEMESTRE	2	1	BARBOZA ARTAVIA LUIS	MIE[09:30-11:20] VIE[09:30-11:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CE1106	Paradigmas de programación	SEMESTRE	2	2	GAMBOA RAMIREZ SANTIAGO	MAR[17:00-18:50] JUE[17:00-18:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CE2103	Algoritmos y estructuras de datos II	SEMESTRE	2	1	RAMIREZ HERRERA JOSE ISAAC	MAR[07:30-09:20] JUE[07:30-09:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CE2201	Laboratorio de circuitos eléctricos	SEMESTRE	2	1	ARAYA MARTINEZ LEONARDO	LUN[09:30-11:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CE2201	Laboratorio de circuitos eléctricos	SEMESTRE	2	2	ARAYA MARTINEZ LEONARDO	LUN[07:30-09:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1407	Habilidades de comunicación en Ingeniería	SEMESTRE	2	1	GODINEZ ROJAS PAULETTE	LUN[09:30-12:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1407	Habilidades de comunicación en Ingeniería	SEMESTRE	2	2	MORALES SOLANO PAOLA NATALIA	JUE[13:00-15:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1407	Habilidades de comunicación en Ingeniería	SEMESTRE	2	3	MORALES GARAY SARAY	MAR[13:00-15:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1407	Habilidades de comunicación en Ingeniería	SEMESTRE	2	4	MORALES SOLANO PAOLA NATALIA	VIE[07:30-10:20]
