Sede	Código.	Descripción de Materia	Modalidad	Periodo	Grupo	Profesor	HORARIO
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CA2125	Elementos de computación	SEMESTRE	2	1	MATA RODRIGUEZ WILLIAM	MIE[09:30-11:20] VIE[09:30-11:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CA2125	Elementos de computación	SEMESTRE	2	2	MATA RODRIGUEZ WILLIAM	MIE[09:30-11:20] VIE[09:30-11:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CA2125	Elementos de computación	SEMESTRE	2	3	MATA RODRIGUEZ WILLIAM	MIE[07:30-09:20] VIE[07:30-09:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CA2125	Elementos de computación	SEMESTRE	2	4	CERDAS QUESADA IVANNIA	MAR[13:00-14:50] JUE[13:00-14:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CA2125	Elementos de computación	SEMESTRE	2	5	CAMPOS FERNANDEZ IVAN	MAR[17:00-18:50] JUE[17:00-18:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CA2125	Elementos de computación	SEMESTRE	2	6	CAMPOS FERNANDEZ IVAN	MAR[19:00-20:50] JUE[19:00-20:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CA2125	Elementos de computación	SEMESTRE	2	7	QUIROS RAMIREZ FRANCO	MIE[13:00-14:50] VIE[13:00-14:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CA2125	Elementos de computación	SEMESTRE	2	8	HERNANDEZ SIBAJA BRYAN	MAR[13:00-14:50] JUE[13:00-14:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CA2125	Elementos de computación	SEMESTRE	2	9	BOGARIN NAVARRO RODRIGO	MAR[19:00-20:50] JUE[19:00-20:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CA2125	Elementos de computación	SEMESTRE	2	10	NAVAS SU JOSE DOLORES	MAR[19:00-20:50] JUE[19:00-20:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CA2125	Elementos de computación	SEMESTRE	2	11	COTO SARMIENTO LAURA	MAR[07:30-09:20] JUE[07:30-09:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CA2125	Elementos de computación	SEMESTRE	2	12	COTO SARMIENTO LAURA	MAR[09:30-11:20] JUE[09:30-11:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CA2125	Elementos de computación	SEMESTRE	2	13	VILLALOBOS ARIAS LUIS ROBERTO	MAR[17:00-18:50] JUE[17:00-18:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI0202	Inglés básico	SEMESTRE	2	1	KENNEDY RUSSELL ANA	LUN[18:00-20:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI0202	Inglés básico	SEMESTRE	2	2	RIVERA VEGA KATERINE	MAR[17:00-19:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI0202	Inglés básico	SEMESTRE	2	3	VALLECILLO ALFARO JOHANNY	MIE[13:00-15:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI0202	Inglés básico	SEMESTRE	2	4	MURILLO ESCALANTE ROCIO	JUE[09:30-12:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI0202	Inglés básico	SEMESTRE	2	5	GOMEZ MONTOYA CARLOS ANDRES	MIE[15:00-17:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI0202	Inglés básico	SEMESTRE	2	6	VINDAS FERNANDEZ NURIA	JUE[13:00-15:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI0202	Inglés básico	SEMESTRE	2	7	ALBERTAZZI OSORIO SONIA	JUE[18:00-20:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI0202	Inglés básico	SEMESTRE	2	8	VALLECILLO ALFARO JOHANNY	LUN[09:30-12:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI0202	Inglés básico	SEMESTRE	2	9	KENNEDY RUSSELL ANA	MAR[13:00-15:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI0202	Inglés básico	SEMESTRE	2	10	ALBERTAZZI OSORIO SONIA	VIE[09:30-12:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1106	Comunicación escrita	SEMESTRE	2	1	ARCE FUENTES JOSE DANIEL	LUN[18:00-20:50]
